nome,cognome,email,telefono,citta,provincia,area,auto,km_max,trasferte,tournee,stato,strumenti,competenze,repertorio,tag,note
Giorgia,Bonetti,giorgia.bonetti@example.invalid,378 000 2802,Treviso,TV,Veneto,si,80,si,no,active,contrabbasso:4:principale,lettura_prima_vista:1;lettura_partitura:3;con_direttore:2;click:2;sequenze:3;in_ear:3;improvvisazione:2;esp_orchestrale:1;esp_pop:1;esp_live:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:declared;program:Rock sinfonico:declared;composer:Hans Zimmer:declared,nuovo;click ok;affidabile,
Alice,Sartori,alice.sartori@example.invalid,372 000 8004,Schio,VI,Veneto,si,80,si,no,active,arpa:4:principale,lettura_prima_vista:2;con_direttore:3;esp_pop:1;esp_studio:1;esp_teatro_musical:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history;genre:Pop sinfonico:declared;composer:John Williams:verified;genre:Musical:declared,prima parte;in-ear ok;tournée ok,
Noemi,Dal Molin,noemi.dalmolin@example.invalid,328 000 5592,Castelfranco Veneto,TV,Veneto,si,200,si,no,active,flauto:5:principale;ottavino:4:doubling,lettura_prima_vista:3;lettura_partitura:1;con_direttore:2;click:3;improvvisazione:3;esp_orchestrale:2;esp_pop:2,,prima parte,
Elena,Furlan,elena.furlan@example.invalid,366 000 9745,Rovigo,RO,Veneto,si,100,si,no,reserve,flauto:4:principale,lettura_prima_vista:3;lettura_partitura:2;con_direttore:2;improvvisazione:2;esp_orchestrale:2;esp_pop:2;esp_live:2,composer:Ennio Morricone:verified;composer:Hans Zimmer:verified;composer:Nino Rota:verified,click ok,
Matteo,Pellizzari,matteo.pellizzari@example.invalid,353 000 4591,Verona,VR,Veneto,si,50,no,no,active,oboe:4:principale,lettura_prima_vista:2;lettura_partitura:2;con_direttore:3;esp_orchestrale:2;esp_live:1;esp_studio:1;esp_teatro_musical:3,program:Pooh in sinfonia:history,,
Martina,Marchetto,martina.marchetto@example.invalid,387 000 3218,Rovigo,RO,Veneto,si,300,si,si,active,clarinetto:4:principale,lettura_prima_vista:3;lettura_partitura:3;click:1;esp_orchestrale:2;esp_pop:3;esp_live:1;esp_studio:3,program:Pooh in sinfonia:history;composer:Ennio Morricone:declared;genre:Musical:verified,nuovo,
Gabriele,Trevisan,gabriele.trevisan@example.invalid,359 000 9824,Rovigo,RO,Veneto,si,150,si,si,active,clarinetto:4:principale,lettura_prima_vista:3;lettura_partitura:1;con_direttore:3;click:3;esp_orchestrale:3;esp_pop:3;esp_live:1;esp_teatro_musical:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;composer:Hans Zimmer:verified,in-ear ok;prima parte,
Alice,Baldan,alice.baldan@example.invalid,397 000 7325,Cittadella,PD,Veneto,si,100,si,no,active,fagotto:4:principale,lettura_prima_vista:3;lettura_partitura:1;con_direttore:2;click:3;improvvisazione:3;esp_live:1,composer:Nino Rota:declared;composer:Hans Zimmer:declared,disponibile weekend;tournée ok,
Francesca,Corrà,francesca.corrà@example.invalid,381 000 1262,Rovigo,RO,Veneto,no,50,no,si,active,sax_alto:4:principale;sax_soprano:3:doubling,sequenze:3;in_ear:2;esp_orchestrale:2;esp_live:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;composer:John Williams:declared;program:Pooh in sinfonia:verified,,
Irene,Lazzarin,irene.lazzarin@example.invalid,336 000 9218,Schio,VI,Veneto,si,200,no,si,active,sax_tenore:5:principale;clarinetto:4:doubling,lettura_prima_vista:3;lettura_partitura:3;con_direttore:3;click:2;esp_orchestrale:3;esp_pop:2;esp_live:3;esp_studio:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history;genre:Jazz:declared;program:Le colonne sonore del cinema italiano:verified,affidabile;disponibile weekend;lettura veloce,
Luca,Munari,luca.munari@example.invalid,366 000 4158,Castelfranco Veneto,TV,Veneto,no,80,si,no,active,corno:5:principale,lettura_prima_vista:3;lettura_partitura:3;con_direttore:1;sequenze:2;esp_orchestrale:3;esp_pop:2;esp_teatro_musical:1,genre:Musical:verified;program:Le colonne sonore del cinema italiano:verified;composer:Nino Rota:declared,,
Valentina,Scarpa,valentina.scarpa@example.invalid,392 000 5509,Castelfranco Veneto,TV,Veneto,no,150,si,no,active,corno:4:principale,con_direttore:2;click:2;esp_orchestrale:3;esp_live:2;esp_studio:3;esp_teatro_musical:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history;program:Rock sinfonico:declared,,
Simone,Toniolo,simone.toniolo@example.invalid,325 000 4277,Schio,VI,Veneto,si,200,si,no,reserve,tromba:5:principale,lettura_prima_vista:3;lettura_partitura:2;con_direttore:2;click:1;sequenze:3;esp_orchestrale:2;esp_pop:1;esp_live:3;esp_studio:1,composer:Ennio Morricone:history;program:Morricone in concerto:history;genre:Pop sinfonico:declared,nuovo;disponibile weekend,
Giulia,Zorzi,giulia.zorzi@example.invalid,385 000 5552,Padova,PD,Veneto,si,300,si,si,active,tromba:5:principale,lettura_partitura:3;con_direttore:3;click:2;sequenze:2;esp_orchestrale:2;esp_pop:3;esp_live:2,program:Pooh in sinfonia:history,,
Francesca,Bettin,francesca.bettin@example.invalid,381 000 2649,Venezia,VE,Veneto,si,200,si,no,reserve,trombone:4:principale,lettura_prima_vista:3;lettura_partitura:2;con_direttore:3;in_ear:3;improvvisazione:2;esp_orchestrale:1;esp_live:3;esp_studio:3,program:Pooh in sinfonia:history;program:Le colonne sonore del cinema italiano:verified,nuovo;in-ear ok,
Lucia,Gasparini,lucia.gasparini@example.invalid,388 000 1439,Mestre,VE,Veneto,si,150,si,no,active,trombone:4:principale,lettura_partitura:2;con_direttore:3;click:3;in_ear:3;esp_orchestrale:3;esp_live:3;esp_studio:2,genre:Jazz:declared;program:Rock sinfonico:declared;genre:Pop sinfonico:verified,prima parte,
Davide,Rampazzo,davide.rampazzo@example.invalid,339 000 2180,Verona,VR,Veneto,si,150,si,no,active,timpani:5:principale,con_direttore:2;sequenze:3;improvvisazione:3;esp_orchestrale:2;esp_pop:1;esp_live:2,composer:Ennio Morricone:history;program:Morricone in concerto:history,,
Davide,Ceccato,davide.ceccato@example.invalid,345 000 5104,Verona,VR,Veneto,si,150,si,si,active,percussioni:3:principale;timpani:3:doubling,lettura_prima_vista:1;lettura_partitura:2;con_direttore:2;in_ear:3;esp_orchestrale:2;esp_pop:3;esp_live:2;esp_studio:3,composer:Ennio Morricone:history;program:Morricone in concerto:history,nuovo;in-ear ok;prima parte,
Elena,Miotto,elena.miotto@example.invalid,395 000 2483,Conegliano,TV,Veneto,si,80,si,no,active,batteria:4:principale,lettura_prima_vista:3;lettura_partitura:3;con_direttore:2;in_ear:2;esp_orchestrale:3;esp_live:3;esp_studio:3,composer:Ennio Morricone:history;program:Morricone in concerto:history,,
Giorgia,Ravagnan,giorgia.ravagnan@example.invalid,351 000 5093,Cittadella,PD,Veneto,si,80,si,no,reserve,pianoforte:3:principale,con_direttore:2;sequenze:1;esp_orchestrale:1;esp_pop:3;esp_teatro_musical:2,composer:Ennio Morricone:history;program:Morricone in concerto:history;program:Pooh in sinfonia:history;composer:Nino Rota:declared,click ok;disponibile weekend,
Tommaso,Stocco,tommaso.stocco@example.invalid,389 000 5901,Mestre,VE,Veneto,si,50,si,no,reserve,tastiere:5:principale,lettura_prima_vista:3;lettura_partitura:2;con_direttore:1;click:1;in_ear:2;esp_pop:3;esp_live:1;esp_teatro_musical:2,genre:Colonne sonore:verified;program:Pooh in sinfonia:verified,in-ear ok;tournée ok,
Gabriele,Bison,gabriele.bison@example.invalid,368 000 1724,Bassano del Grappa,VI,Veneto,si,150,si,no,active,chitarra_elettrica:3:principale,lettura_partitura:1;click:3;sequenze:3;esp_orchestrale:1;esp_pop:2;esp_live:3,composer:Ennio Morricone:history;program:Morricone in concerto:history;composer:John Williams:declared;genre:Musical:declared,,
Paolo,Dall'Igna,paolo.dalligna@example.invalid,379 000 9745,Padova,PD,Veneto,si,100,si,si,active,basso_elettrico:4:principale,con_direttore:1;click:1;in_ear:2;esp_orchestrale:1;esp_pop:3;esp_live:2;esp_studio:1;esp_teatro_musical:2,,prima parte;lettura veloce,
